序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,"賣出股數"
1,合　　庫,106.50,0,1000,,2,合　　庫,107.00,299,11112 
3,合　　庫,107.50,100,1000,,4,合　　庫,108.00,9000,0 
5,合庫台中,107.00,7150,22900,,6,合庫台中,107.50,200,11000 
7,合庫台中,108.00,12000,0,,8,合庫台南,107.00,500,600 
9,合庫台南,107.50,0,1249,,10,合庫高雄,107.00,100,12000 
11,合庫高雄,107.50,0,3400,,12,合庫高雄,108.00,1000,0 
13,合庫嘉義,107.50,0,1000,,14,合庫嘉義,108.00,1000,0 
15,合庫基隆,107.00,0,3000,,16,合庫基隆,107.50,1000,0 
17,合庫彰化,107.00,0,1000,,18,合庫彰化,108.00,1000,0 
19,合庫彰化,108.50,1000,0,,20,合庫鳳山,107.00,1000,0 
21,合庫鳳山,107.50,1000,1000,,22,合庫新竹,106.50,1000,0 
23,合庫新竹,107.00,1000,20000,,24,合庫新竹,107.50,1000,3000 
25,合庫新竹,108.00,4000,0,,26,合庫自強,106.50,0,1000 
27,合庫自強,107.00,3000,7300,,28,合庫自強,107.50,2000,0 
29,合庫自強,108.00,0,1000,,30,合庫桃園,107.00,1000,305049 
31,合庫桃園,107.50,1000,12000,,32,合庫桃園,108.00,23000,0 
33,合庫西台,107.00,0,4000,,34,合庫西台,107.50,1000,0 
35,合庫西台,108.00,0,3000,,36,合庫三重,107.00,10000,1000 
37,土　　銀,107.00,10500,0,,38,土　　銀,107.50,0,24000 
39,土銀台中,107.00,2000,4000,,40,土銀台中,107.50,1000,0 
41,土銀台南,107.00,2070,0,,42,土銀台南,107.50,1000,0 
43,土銀高雄,107.00,2000,1000,,44,土銀高雄,107.50,1000,1000 
45,土銀嘉義,107.00,3000,0,,46,土銀新竹,107.50,50,12000 
47,土銀新竹,108.00,1000,0,,48,土銀玉里,107.00,3000,1000 
49,土銀玉里,107.50,0,2000,,50,土銀花蓮,107.50,0,1100 
51,土銀和平,107.00,1000,0,,52,土銀士林,107.00,2000,0 
53,土銀士林,107.50,0,1000,,54,土銀建國,106.50,2000,1030 
55,土銀建國,107.00,1000,1000,,56,土銀建國,107.50,0,1000 
57,土銀彰化,107.00,0,6000,,58,土銀彰化,108.00,1000,1000 
59,土銀白河,107.00,2000,0,,60,土銀南港,107.00,0,1000 
61,土銀南港,107.50,0,1000,,62,臺銀,106.50,0,2000 
63,臺銀,107.00,113536,21305,,64,臺銀,107.50,402036,2600 
65,臺銀鳳山,107.00,4233,13100,,66,臺銀鳳山,107.50,10000,4390 
67,臺銀鳳山,108.00,8000,0,,68,臺銀臺南,107.00,9000,5009 
69,臺銀臺南,107.50,100,1030,,70,臺銀臺南,108.00,1000,0 
71,臺銀民權,106.50,2000,1000,,72,臺銀民權,107.00,3110,3120 
73,臺銀民權,107.50,2000,4030,,74,臺銀新竹,106.50,0,1000 
75,臺銀新竹,107.00,1048,14200,,76,臺銀新竹,107.50,0,1000 
77,臺銀臺中,106.50,0,2000,,78,臺銀臺中,107.00,30420,9072 
79,臺銀臺中,107.50,3000,7076,,80,臺銀臺中,108.00,2000,0 
81,臺銀高雄,107.00,4100,6670,,82,臺銀高雄,107.50,4000,800 
83,臺銀高雄,108.00,3000,0,,84,臺銀金山,106.50,1000,0 
85,臺銀金山,107.00,15000,3000,,86,臺銀金山,107.50,1000,5000 
87,臺銀金山,108.00,3000,0,,88,企銀,107.00,2000,14000 
89,企銀,108.00,0,1000,,90,企銀台中,107.00,300,1000 
91,企銀九如,107.50,0,1000,,92,企銀太平,107.00,2000,10000 
93,企銀豐原,106.50,0,2000,,94,企銀豐原,107.00,0,650 
95,企銀民雄,107.00,1365,1022,,96,企銀民雄,107.50,0,2110 
97,台企建成,107.00,1000,1000,,98,企銀桃園,107.00,0,2000 
99,企銀桃園,107.50,0,2000,,100,企銀北高,107.00,2000,0 
101,企銀埔墘,107.00,0,1000,,102,日盛,107.00,3078,25000 
