,券商,買進,賣出,買超,均買價,均賣價,券商,買進,賣出,買超,均買價,均賣價
0,摩根大通,1918.01,490.0,1428.01,107.23,107.74,富邦,802.74,3006.47,-2203.72,107.04,107.68
1,台灣匯立,1493.8,250.0,1243.8,107.31,107.5,凱基台北,1485.01,2798.0,-1312.99,107.23,107.16
2,元富,780.0,35.0,745.0,107.32,107.1,瑞士信貸,0.0,1153.0,-1153.0,,107.51
3,元富花蓮,2270.1,1608.0,662.1,107.96,107.5,合庫桃園,25.0,317.05,-292.05,107.94,107.02
4,港商法興,586.0,22.0,564.0,107.2,107.0,港麥格理,94.0,362.0,-268.0,107.07,107.0
5,臺銀,515.57,25.9,489.67,107.39,107.01,兆豐,228.0,430.0,-202.0,107.03,107.04
6,美商高盛,983.77,495.6,488.17,107.46,107.11,元大佳里,3.2,172.0,-168.8,107.16,107.0
7,台灣摩根,1114.0,656.0,458.0,107.48,107.16,美林,1498.0,1634.56,-136.56,107.21,107.02
8,法銀巴黎,384.0,0.0,384.0,107.11,,華南虎尾,2.0,109.44,-107.44,107.5,107.33
9,台新,280.75,60.98,219.77,107.26,107.1,群益新莊,1.0,102.0,-101.0,108.0,107.0
10,凱基站前,498.35,288.0,210.35,106.94,107.19,富邦左營,5.48,102.62,-97.14,107.27,107.0
11,凱基高美,127.04,4.3,122.74,107.37,107.27,瑞銀,1840.0,1932.0,-92.0,107.18,107.23
12,統一三重,326.0,211.0,115.0,107.02,107.26,凱基,21.0,111.0,-90.0,107.33,107.31
13,元大忠孝,114.2,13.0,101.2,107.85,107.54,日盛台中,3.15,86.7,-83.55,107.32,107.46
14,凱基復興,109.38,15.0,94.38,107.01,107.5,元大內湖,24.0,107.15,-83.15,107.1,107.95
15,國泰綜合,93.66,0.0,93.66,107.48,107.0,國票敦北,109.0,178.2,-69.2,106.98,107.01
16,花旗環球,809.0,726.6,82.4,107.34,107.48,華南麻豆,0.01,64.0,-63.99,107.0,106.7
17,元大,439.06,376.02,63.04,107.27,107.71,元富文心,0.0,59.0,-59.0,,107.93
18,國票南京,60.1,2.0,58.1,107.17,107.0,新光,169.21,227.28,-58.07,107.1,107.37
19,日盛木柵,55.51,0.0,55.51,107.03,,港商野村,39.0,95.0,-56.0,107.5,108.0
20,亞東,62.66,12.12,50.54,107.08,107.46,元富松德,22.3,78.0,-55.7,107.23,107.28
21,群益內湖,51.05,4.5,46.55,107.0,107.28,中國信託,28.45,81.86,-53.4,107.32,106.94
22,群益東大,52.0,7.0,45.0,107.49,107.21,國票南科,10.5,62.7,-52.2,107.02,107.09
23,元富台南,52.0,10.4,41.6,107.02,107.02,國票桃園,0.0,52.0,-52.0,,107.0
24,兆豐台南,42.0,1.0,41.0,107.48,107.5,上海匯豐,0.0,51.84,-51.84,,107.37
25,大展台南,40.0,1.0,39.0,107.5,107.5,凱基湖口,12.2,61.14,-48.94,106.99,107.98
26,宏遠,150.03,114.0,36.03,106.83,107.53,永豐博愛,3.0,48.0,-45.0,107.0,107.11
27,元富三重,34.04,0.0,34.04,107.91,,兆豐板橋,0.0,45.0,-45.0,,106.98
28,兆豐南門,33.0,0.0,33.0,107.03,,日盛八德,3.02,46.0,-42.98,107.17,107.0
29,永豐豐原,32.13,0.05,32.08,107.02,107.0,元大台北,19.0,60.0,-41.0,107.32,107.79
30,兆豐中港,38.06,11.55,26.51,107.09,107.56,凱基新豐,10.2,50.0,-39.8,107.01,106.9
31,日盛二林,36.0,10.0,26.0,107.14,107.5,富邦基隆,1.0,40.0,-39.0,107.0,106.91
32,元大彰生,31.08,6.0,25.08,107.32,107.42,群益永和,5.02,41.0,-35.98,107.0,107.18
33,元大經國,37.0,12.2,24.8,107.08,107.17,凱基彰化,6.62,38.3,-31.68,107.03,107.82
34,國票中正,26.0,2.0,24.0,107.48,107.75,康和嘉義,4.4,35.1,-30.7,107.35,106.79
35,元大新莊,29.0,5.24,23.76,107.38,107.6,凱基汐止,1.0,30.0,-29.0,107.0,107.42
36,永豐苓雅,60.48,37.8,22.68,107.02,107.39,台新左楠,2.1,31.0,-28.9,107.98,107.16
37,玉山高雄,38.1,15.58,22.52,107.66,107.17,富邦板橋,9.24,35.21,-25.98,107.44,107.1
38,統一,43.31,21.1,22.21,107.43,107.59,元富同大,6.0,31.17,-25.17,107.08,107.14
39,亞東新竹,21.0,0.0,21.0,107.14,,華南永昌,7.15,32.15,-25.0,107.78,106.95
40,富邦新店,37.05,16.2,20.85,107.73,107.43,元大清水,9.0,34.0,-25.0,107.06,107.06
41,凱基東勢,24.0,4.0,20.0,107.42,107.0,元大大同,5.23,29.3,-24.07,107.77,107.1
42,富邦台中,23.0,3.02,19.98,107.2,107.5,群益竹南,10.28,34.0,-23.72,107.01,107.04
43,元大嘉義,22.22,2.3,19.92,107.27,107.0,凱基長庚,25.0,48.0,-23.0,107.3,107.12
44,台新新營,25.4,5.5,19.9,107.89,107.18,宏遠中和,0.0,23.0,-23.0,,107.48
45,臺銀臺中,35.42,18.15,17.27,107.1,107.14,國泰高雄,10.9,33.18,-22.28,107.42,107.01
46,富邦羅東,24.0,8.0,16.0,107.44,107.44,新光台中,45.06,67.3,-22.24,107.4,107.11
47,元大大天,19.01,3.02,15.99,107.6,107.33,日盛,4.18,26.0,-21.82,107.13,107.02
48,富邦高雄,19.06,3.11,15.95,107.47,107.48,元富台中,7.0,28.1,-21.1,107.57,107.38
49,兆豐大安,558.0,542.05,15.95,107.03,107.5,華南岡山,5.0,26.05,-21.05,107.5,107.33
50,元大西門,25.01,9.2,15.81,107.34,107.33,國票和平,5.01,26.0,-20.99,107.5,107.21
51,台新高雄,33.36,18.17,15.19,107.1,107.47,玉山板橋,2.03,22.09,-20.06,107.49,107.02
52,凱基岡山,23.4,8.3,15.1,107.9,107.26,宏遠光隆,2.1,22.1,-20.0,107.24,107.09
53,第一安和,15.0,0.0,15.0,107.07,,元富敦南,2.0,22.0,-20.0,107.0,107.5
54,日盛斗六,15.0,0.0,15.0,107.0,,元大新生,0.02,19.8,-19.78,107.0,107.07
55,元大楊梅,19.71,5.06,14.66,107.03,107.01,高橋,6.0,25.2,-19.2,107.58,106.84
56,群益嘉義,15.3,1.0,14.3,107.27,108.0,豐農,3.0,22.0,-19.0,107.0,107.0
57,凱基三多,16.0,1.7,14.3,107.75,107.29,元富緯城,2.05,21.02,-18.98,107.74,107.14
